Name,MTOW [kg],Payload [kg],Wingspan [m],Length [m],Cruise Speed [m/s],Max speed [m/s],Stall Speed [m/s],Range [km],Endurance [h],Altitude [m],Altitude [ft],Airfoil,Aspect ratio,Chord (est.) [m],Rotor/Prop diameter [m],Additional info,Type,Ref1,Ref2,Ref3,Ref4
Northrop Grumman Bat UAS,159,56.6,4.26,2,33.4,47.3,,,18,5200,17000 MSL (ceiling),,,,,Fuel engine,,[96],,,
Northrop Grumman MQ8-B Fire Scout,1428.8,,,9.2,41.2,43.7,,200,8,"3900, 6000","12500 (service), 20000 (max)",,,,8.4,turboshaft engine,rotary-wing,[132],[133],,
Northrop Grumman RQ-4 Block 30 Global Hawk,"14,628",1360,39.90,14.5,159,,,22780 ,32+,18300 (max altitude),60000,NASA LRN 1015,25,1.6,,Turbofan engine,,[1],[2],[3],[4]
Nostromo Yarara W,35,9,4.00,2.5,32,40.3,17.5,50,6,4000 (ceiling),13000,,,,,Wankel engine (8HP),,[43],[44],,
Prioria Maveric,1.16,,0.75,0.91,18,23.2,9.3,15,1.5,"30, 3000","100 AGL (operating altitude), 10000 MSL (max operating)",,,,,batteries,,[27],,,
ProxDynamics PD 100-RS,0.016,,,,,10,,1,0.42,,,,,,0.12,,rotary-wing,[120],,,
Qods Mohajer-4,175,,5.30,3.64,50,55.6,,1500,7,4500,15000 (max altitude),,,,,,,[135],,,
Raytheon Coyote,5.9,,1.50,0.9,28.3,36,,130,2,9100,30000 MSL (max deployment altitude),,,,,,,[105],[106],,
Rheinmetall DeTec KZO,161,35,3.42,2.25,42,61,,140,5.5,4000 ASL (max altitude),13000,,,,,2-cylinder engine 24kW,,[31],,,
Saxon Viper M10,20,11,3.00,,22.2,34.7,11.4,100,8,,,,,,,Electric / Gas,,[117],,,
Skyfront Perimeter 8,19,5.5,,2,9.7,15.8,,177,5,,,,,,,,rotary-wing,[139],,,
Sperwer A Mk II,,50,4.20,3.5,46.3,,,200,6,4572 (ceiling),15000 (ceiling),,,,,,,[50],,,
ST Aerospace Skyblade III,5,1,2.60,1.4,12.9,18,10.8,8,1,450,1500 AGL (max operating altitude),,,,,,,[79],[80],,
Sunbirds SB4 Phoenix Solar,3.5,,3.20,1.62,11.1,,,290,all day long,,,,,,,battery,,[115],,,
Sunbirds Tigerwing,2.8,,1.80,1.4,9.7,,,64,1.5,450 AGL (flight altitude),1500,,,,,battery,,[114],,,
TAI Anka ,1600,200,17.30,8,56.6,,,200,24,9100,30000 ASL (service ceiling),,,,,155 hp fuel engine,,[94],[95],,
Tekever AR4 Evo,4,1,2.10,1.35,15,15,,,2,,,,,,,,,[77],,,
Tekever AR5,180,50,7.30,4,27.8,,,,20,,,,,,,,,[78],,,
Textron Systems Aerosonde Fixed Wing,45.5,9.1,3.70,,23-33,,,140,14,4572 (ceiling),15000,,,,,1-cylinder engine 3kW,,[32],,,
Thales Fulmar X,20,8,3.00,1.2,27.8,,,800,12,3000 (altitude),10000,,,,,,,[84],,,
Threod Eos C,13,1.5,4.76,1.83,14,28,,50,3,3000 ASL (max height),10000,,,,,electrical motor,,[46],[47],,
Threod Stream C,40,6,3.90,2.3,22-28,36,,150,6,3000 (operational altitude),9843 (operational altitude),,,,,,,[48],[49],,
Topcon Sirius Pro,2.7,,1.63,1.2,18.1,,,,0.83,750 (max typ flight altitude),2500,,,,,battery,,[113],,,
UAV Factory Penguin B,21.5,10,3.30,2.27,22,36,13,,20+,5000 (service ceiling),16500,,13.8,0.24,,fuel injection engine,,[15],[16],,
Uconsystem Remo M-002,3.5,,1.80,1.44,,22.2,,10,1.5,,,,,,,electric engine,,[110],,,
V-200 Skeldar,235,,,4,,41.7,,200,5+,3000 (service ceiling),10000,,,,4.6,heavy fuel engine,rotary-wing,[121],,,
WB Group FLYEYE mini UAV,11,4,3.60,1.9,,33.3,,30,2.5,4000 ASL (max altitude),13000,,,,,electric engine,,[75],,,
WB Group FT-5 LOS Tactical UAV,85,30,6.40,3.1,,50,21.1,180,12,5000 ASL (max ceiling),16500,,,,,2 Combustion engines,,[76],,,
XY Aviations FT-25D,90,10,2.50,3,97.2,125,,,0.45,5000 (flight altitude),16500,,4.8,0.52,,2 turbojet engines,,[138],,,
XY Aviations H-150,105,20,4.90,2.92,36.1,47.2,,,4,3000 (flight altitude),10000,,12,0.4,,22 hp engine,,[137],,,
